Learning Standard,Category,Sub-Category,State Standard,,,
RI.1.3,Reading Informational,Key Ideas and Details,"Describe the connection between two individuals, events, ideas, or pieces of information in a text.",,,
RI.1.4,Reading Informational,Craft and Structure,Ask and answer questions to help determine or clarify the meaning of words and phrases in a text.,,,
RI.1.5,Reading Informational,Craft and Structure,"Know and use various text features (e.g., headings, tables of contents, glossaries, electronic menus, icons) to locate key facts or information in a text.",,,
RI.1.6,Reading Informational,Craft and Structure,Distinguish between information provided by pictures or other illustrations and information provided by the words in a text.,,,
RI.1.7,Reading Informational,Integration of Knowledge and Ideas,Use the illustrations and details in a text to describe its key ideas.,,,
RI.1.8,Reading Informational,Integration of Knowledge and Ideas,Identify the reasons an author gives to support points in a text.,,,
RI.1.9,Reading Informational,Integration of Knowledge and Ideas,"Identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures).",,,
RI.2.1,Reading Informational,Key Ideas and Details,"Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text.",,,
RI.2.10,Reading Informational,Range of Reading and Level of Text Complexity,"By the end of year, read and comprehend informational texts, including history/social studies, science, and technical texts, in the grades 2–3 text complexity band proficiently, with scaffolding as needed at the high end of the range.",,,
RI.2.2,Reading Informational,Key Ideas and Details,Identify the main topic of a multiparagraph text as well as the focus of specific paragraphs within the text.,,,
RI.2.3,Reading Informational,Key Ideas and Details,"Describe the connection between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text.",,,
RI.2.4,Reading Informational,Craft and Structure,Determine the meaning of words and phrases in a text relevant to a grade 2 topic or subject area.,,,
RI.2.5,Reading Informational,Craft and Structure,"Know and use various text features (e.g., captions, bold print, subheadings, glossaries, indexes, electronic menus, icons) to locate key facts or information in a text efficiently.",,,
RI.2.6,Reading Informational,Craft and Structure,"Identify the main purpose of a text, including what the author wants to answer, explain, or describe.",,,
RI.2.7,Reading Informational,Integration of Knowledge and Ideas,"Explain how specific images (e.g., a diagram showing how a machine works) contribute to and clarify a text.",,,
RI.2.8,Reading Informational,Integration of Knowledge and Ideas,Describe how reasons support specific points the author makes in a text.,,,
RI.2.9,Reading Informational,Integration of Knowledge and Ideas,Compare and contrast the most important points presented by two texts on the same topic.,,,
RI.3.1,Reading Standards for Informational Text,Key Ideas and Details,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",,,
RI.3.10,Reading Standards for Informational Text,Range of Reading and Level of Text Complexity,"By the end of the year, read and comprehend informational texts, including history/social studies, science, and technical texts, at the high end of the grades 2–3 text complexity band independently and proficiently.",,,
RI.3.2,Reading Standards for Informational Text,Key Ideas and Details,Determine the main idea of a text; recount the key details and explain how they support the main idea.,,,
RI.3.3,Reading Standards for Informational Text,Key Ideas and Details,"Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect.",,,
RI.3.4,Reading Standards for Informational Text,Craft and Structure,Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 3 topic or subject area.,,,
RI.3.5,Reading Standards for Informational Text,Craft and Structure,"Use text features and search tools (e.g., key words, sidebars, hyperlinks) to locate information relevant to a given topic efficiently.",,,
RI.3.6,Reading Standards for Informational Text,Craft and Structure,Distinguish their own point of view from that of the author of a text.,,,
RI.3.7,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Use information gained from illustrations (e.g., maps, photographs) and the words in a text to demonstrate understanding of the text (e.g., where, when, why, and how key events occur).",,,
RI.3.8,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Describe the logical connection between particular sentences and paragraphs in a text (e.g., comparison, cause/effect, first/second/third in a sequence).",,,
RI.3.9,Reading Standards for Informational Text,Integration of Knowledge and Ideas,Compare and contrast the most important points and key details presented in two texts on the same topic.,,,
RI.4.10,Reading Informational,Range of Reading and Level of Text Complexity,"By the end of year, read and comprehend informational texts, including history/social studies, science, and technical texts, in the grades 4–5 text complexity band proficiently, with scaffolding as needed at the high end of the range.",,,
RI.4.7,Reading Informational,Integration of Knowledge and Ideas,"Interpret information presented visually, orally, or quantitatively (e.g., in charts, graphs, diagrams, time lines, animations, or interactive elements on Web pages) and explain how the information contributes to an understanding of the text in which it appears.",,,
RI.4.8,Reading Informational,Integration of Knowledge and Ideas,Explain how an author uses reasons and evidence to support particular points in a text.,,,
RI.4.9,Reading Informational,Integration of Knowledge and Ideas,Integrate information from two texts on the same topic in order to write or speak about the subject knowledgeably.,,,
RI.5.1,Reading Informational,Key Ideas and Details,Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text.,,,
RI.5.10,Reading Informational,Range of Reading and Level of Text Complexity,"By the end of the year, read and comprehend informational texts, including history/social studies, science, and technical texts, at the high end of the grades 4–5 text complexity band independently and proficiently.",,,
RI.5.2,Reading Informational,Key Ideas and Details,Determine two or more main ideas of a text and explain how they are supported by key details; summarize the text.,,,
RI.5.3,Reading Informational,Key Ideas and Details,"Explain the relationships or interactions between two or more individuals, events, ideas, or concepts in a historical, scientific, or technical text based on specific information in the text.",,,
RI.5.4,Reading Informational,Craft and Structure,Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 5 topic or subject area.,,,
RI.5.5,Reading Informational,Craft and Structure,"Compare and contrast the overall structure (e.g., chronology, comparison, cause/effect, problem/solution) of events, ideas, concepts, or information in two or more texts.",,,
RI.5.6,Reading Informational,Craft and Structure,"Analyze multiple accounts of the same event or topic, noting important similarities and differences in the point of view they represent.",,,
RI.5.7,Reading Informational,Integration of Knowledge and Ideas,"Draw on information from multiple print or digital sources, demonstrating the ability to locate an answer to a question quickly or to solve a problem efficiently.",,,
RI.5.8,Reading Informational,Integration of Knowledge and Ideas,"Explain how an author uses reasons and evidence to support particular points in a text, identifying which reasons and evidence support which point(s).",,,
RI.5.9,Reading Informational,Integration of Knowledge and Ideas,Integrate information from several texts on the same topic in order to write or speak about the subject knowledgeably.,,,
RI.6.1,Reading Informational,Key Ideas and Details,Cite textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.,,,
RI.6.10,Reading Informational,Range of Reading and Level of Text Complexity,"By the end of the year, read and comprehend literary nonfiction in the grades 6–8 text complexity band proficiently, with scaffolding as needed at the high end of the range.",,,
RI.6.2,Reading Informational,Key Ideas and Details,Determine a central idea of a text and how it is conveyed through particular details; provide a summary of the text distinct from personal opinions or judgments.,,,
RI.6.3,Reading Informational,Key Ideas and Details,"Analyze in detail how a key individual, event, or idea is introduced, illustrated, and elaborated in a text (e.g., through examples or anecdotes).",,,
RI.6.4,Reading Informational,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings.",,,
RI.6.5,Reading Informational,Craft and Structure,"Analyze how a particular sentence, paragraph, chapter, or section fits into the overall structure of a text and contributes to the development of the ideas.",,,
RI.6.6,Reading Informational,Craft and Structure,Determine an author’s point of view or purpose in a text and explain how it is conveyed in the text.,,,
RI.6.7,Reading Informational,Integration of Knowledge and Ideas,"Integrate information presented in different media or formats (e.g., visually, quantitatively) as well as in words to develop a coherent understanding of a topic or issue.",,,
RI.6.8,Reading Informational,Integration of Knowledge and Ideas,"Trace and evaluate the argument and specific claims in a text, distinguishing claims that are supported by reasons and evidence from claims that are not.",,,
RI.6.9,Reading Informational,Integration of Knowledge and Ideas,"Compare and contrast one author’s presentation of events with that of another (e.g., a memoir written by and a biography on the same person).",,,
RI.6.9.a,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Use their experience and their knowledge of language and logic, as well as culture, to think analytically, address problems creatively, and advocate persuasively.",,,
RI.7.1,Reading Informational,Key Ideas and Details,Cite several pieces of textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.,,,
RI.7.10,Reading Informational,Range of Reading and Level of Text Complexity,"By the end of the year, read and comprehend literary nonfiction in the grades 6–8 text complexity band proficiently, with scaffolding as needed at the high end of the range.",,,
RI.7.2,Reading Informational,Key Ideas and Details,Determine two or more central ideas in a text and analyze their development over the course of the text; provide an objective summary of the text.,,,
RI.7.3,Reading Informational,Key Ideas and Details,"Analyze the interactions between individuals, events, and ideas in a text (e.g., how ideas influence individuals or events, or how individuals influence ideas or events).",,,
RI.7.4,Reading Informational,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the impact of a specific word choice on meaning and tone.",,,
RI.7.5,Reading Informational,Craft and Structure,"Analyze the structure an author uses to organize a text, including how the major sections contribute to the whole and to the development of the ideas.",,,
RI.7.6,Reading Informational,Craft and Structure,Determine an author’s point of view or purpose in a text and analyze how the author distinguishes his or her position from that of others.,,,
RI.7.7,Reading Informational,Integration of Knowledge and Ideas,"Compare and contrast a text to an audio, video, or multimedia version of the text, analyzing each medium’s portrayal of the subject (e.g., how the delivery of a speech affects the impact of the words).",,,
RI.7.8,Reading Informational,Integration of Knowledge and Ideas,"Trace and evaluate the argument and specific claims in a text, assessing whether the reasoning is sound and the evidence is relevant and sufficient to support the claims.",,,
RI.7.9,Reading Informational,Integration of Knowledge and Ideas,Analyze how two or more authors writing about the same topic shape their presentations of key information by emphasizing different evidence or advancing different interpretations of facts.,,,
RI.7.9.a,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Use their experience and their knowledge of language and logic, as well as culture, to think analytically, address problems creatively, and advocate persuasively.",,,
RI.8.1,Reading Informational,Key Ideas and Details,Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text.,,,
RI.8.10,Reading Informational,Range of Reading and Level of Text Complexity,"By the end of the year, read and comprehend literary nonfiction at the high end of the grades 6–8 text complexity band independently and proficiently.",,,
RI.8.2,Reading Informational,Key Ideas and Details,"Determine a central idea of a text and analyze its development over the course of the text, including its relationship to supporting ideas; provide an objective summary of the text.",,,
RI.8.3,Reading Informational,Key Ideas and Details,"Analyze how a text makes connections among and distinctions between individuals, ideas, or events (e.g., through comparisons, analogies, or categories).",,,
RI.8.4,Reading Informational,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the impact of specific word choices on meaning and tone, including analogies or allusions to other texts.",,,
RI.8.5,Reading Informational,Craft and Structure,"Analyze in detail the structure of a specific paragraph in a text, including the role of particular sentences in developing and refining a key concept.",,,
RI.8.6,Reading Informational,Craft and Structure,Determine an author’s point of view or purpose in a text and analyze how the author acknowledges and responds to conflicting evidence or viewpoints.,,,
RI.8.7,Reading Informational,Integration of Knowledge and Ideas,"Evaluate the advantages and disadvantages of using different mediums (e.g., print or digital text, video, multimedia) to present a particular topic or idea.",,,
RI.8.8,Reading Informational,Integration of Knowledge and Ideas,"Delineate and evaluate the argument and specific claims in a text, assessing whether the reasoning is sound and the evidence is relevant and sufficient; recognize when irrelevant evidence is introduced.",,,
RI.8.9,Reading Informational,Integration of Knowledge and Ideas,Analyze a case in which two or more texts provide conflicting information on the same topic and identify where the texts disagree on matters of fact or interpretation.,,,
RI.8.9.a,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Use their experience and their knowledge of language and logic, as well as culture, to think analytically, address problems creatively, and advocate persuasively.",,,
RI.9-10.1,Reading Informational,Key Ideas and Details,Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.,,,
RI.9-10.1.a,Reading Standards for Informational Text,Key Ideas and Details,"Develop factual, interpretive, and evaluative questions for further exploration of the topic(s).",,,
RI.9-10.10,Reading Informational,Range of Reading and Level of Text Complexity,"By the end of grade 9, read and comprehend literary nonfiction in the grades 9–10 text complexity band proficiently, with scaffolding as needed at the high end of the range.",,,
RI.9-10.2,Reading Informational,Key Ideas and Details,"Determine a central idea of a text and analyze its development over the course of the text, including how it emerges and is shaped and refined by specific details; provide an objective summary of the text.",,,
RI.9-10.3,Reading Informational,Key Ideas and Details,"Analyze how the author unfolds an analysis or series of ideas or events, including the order in which the points are made, how they are introduced and developed, and the connections that are drawn between them.",,,
RI.9-10.4,Reading Informational,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the cumulative impact of specific word choices on meaning and tone (e.g., how the language of a court opinion differs from that of a newspaper).",,,
RI.9-10.5,Reading Informational,Craft and Structure,"Analyze in detail how an author’s ideas or claims are developed and refined by particular sentences, paragraphs, or larger portions of a text (e.g., a section or chapter).",,,
RI.9-10.6,Reading Informational,Craft and Structure,Determine an author’s point of view or purpose in a text and analyze how an author uses rhetoric to advance that point of view or purpose.,,,
RI.9-10.7,Reading Informational,Integration of Knowledge and Ideas,"Analyze various accounts of a subject told in different mediums (e.g., a person’s life story in both print and multimedia), determining which details are emphasized in each account.",,,
RI.9-10.8,Reading Informational,Integration of Knowledge and Ideas,"Delineate and evaluate the argument and specific claims in a text, assessing whether the reasoning is valid and the evidence is relevant and sufficient; identify false statements and fallacious reasoning.",,,
RI.9-10.9,Reading Informational,Integration of Knowledge and Ideas,"Analyze seminal U.S. documents of historical and literary significance (e.g., Washington’s Farewell Address, the Gettysburg Address, Roosevelt’s Four Freedoms speech, King’s “Letter from Birmingham Jail”), including how they address related themes and concepts.",,,
RI.9-10.9.a,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Read, annotate, and analyze informational texts on topics related to diverse and non-traditional cultures and viewpoints.",,,
RI.11-12.1,Reading Informational,Key Ideas and Details,"Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text, including determining where the text leaves matters uncertain.",,,
RI.11-12.1.a,Reading Standards for Informational Text,Key Ideas and Details,"Develop factual, interpretive, and evaluative questions for further exploration of the topic(s).",,,
RI.11-12.10,Reading Informational,Range of Reading and Level of Text Complexity,"By the end of grade 11, read and comprehend literary nonfiction in the grades 11–CCR text complexity band proficiently, with scaffolding as needed at the high end of the range.",,,
RI.11-12.2,Reading Informational,Key Ideas and Details,"Determine two or more central ideas of a text and analyze their development over the course of the text, including how they interact and build on one another to provide a complex analysis; provide an objective summary of the text.",,,
RI.11-12.3,Reading Informational,Key Ideas and Details,"Analyze a complex set of ideas or sequence of events and explain how specific individuals, ideas, or events interact and develop over the course of the text.",,,
RI.11-12.4,Reading Informational,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze how an author uses and refines the meaning of a key term or terms over the course of a text (e.g., how Madison defines faction in Federalist No. 10).",,,
RI.11-12.5,Reading Informational,Craft and Structure,"Analyze and evaluate the effectiveness of the structure an author uses in his or her exposition or argument, including whether the structure makes points clear, convincing, and engaging.",,,
RI.11-12.6,Reading Informational,Craft and Structure,"Determine an author’s point of view or purpose in a text in which the rhetoric is particularly effective, analyzing how style and content contribute to the power, persuasiveness or beauty of the text.",,,
RI.11-12.7,Reading Informational,Integration of Knowledge and Ideas,"Integrate and evaluate multiple sources of information presented in different media or formats (e.g., visually, quantitatively) as well as in words in order to address a question or solve a problem.",,,
RI.11-12.8,Reading Informational,Integration of Knowledge and Ideas,"Delineate and evaluate the reasoning in seminal U.S. texts, including the application of constitutional principles and use of legal reasoning (e.g., in U.S. Supreme Court majority opinions and dissents) and the premises, purposes, and arguments in works of public advocacy (e.g., The Federalist, presidential addresses).",,,
RI.11-12.9,Reading Informational,Integration of Knowledge and Ideas,"Analyze seventeenth-, eighteenth-, and nineteenth-century foundational U.S. documents of historical and literary significance (including The Declaration of Independence, the Preamble to the Constitution, the Bill of Rights, and Lincoln’s Second Inaugural Address) for their themes, purposes, and rhetorical features.",,,
RI.11-12.9.a,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Read, annotate, and analyze informational texts on topics related to diverse and non-traditional cultures and viewpoints.",,,
RF.PK.1,Reading Standards: Foundational Skills,Print Concepts,Demonstrate understanding of the organization and basic features of print.,,,
RF.PK.1.a,Reading Standards: Foundational Skills,Print Concepts,"Follow words from left to right, top to bottom, and page by page.",,,
RF.PK.1.b,Reading Standards: Foundational Skills,Print Concepts,Recognize that spoken words are represented in written language by specific sequences of letters.,,,
RF.PK.1.c,Reading Standards: Foundational Skills,Print Concepts,Understand that words are separated by spaces in print.,,,
RF.PK.1.d,Reading Standards: Foundational Skills,Print Concepts,"Recognize and name some upper /lowercase letters of the alphabet, especially those in own name.",,,
RF.PK.1.e,Reading Standards: Foundational Skills,Print Concepts,Recognize that letters are grouped to form words.,,,
RF.PK.1.f,Reading Standards: Foundational Skills,Print Concepts,Differentiate letters from numerals.,,,
RF.PK.2,Reading Standards: Foundational Skills,Phonological Awareness,"Demonstrate an emerging understanding of spoken words, syllables and sounds (phonemes).",,,
RF.PK.2.a,Reading Standards: Foundational Skills,Phonological Awareness,"Engage in language play (e.g. alliterative language, rhyming, sound patterns).",,,
RF.PK.2.b,Reading Standards: Foundational Skills,Phonological Awareness,Recognize and match words that rhyme.,,,
RF.PK.2.c,Reading Standards: Foundational Skills,Phonological Awareness,Demonstrate awareness of relationship between sounds and letters.,,,
RF.PK.2.d,Reading Standards: Foundational Skills,Phonological Awareness,"With support and prompting, isolate and pronounce the initial sounds in words.",,,
RF.PK.3,Reading Standards: Foundational Skills,Phonics and Word Recognition,Demonstrate emergent phonics and word analysis skills.,,,
RF.PK.3.a,Reading Standards: Foundational Skills,Phonics and Word Recognition,"With prompting and support, demonstrate one-to-one letter-sound correspondence by producing the primary sound of some consonants.",,,
RF.PK.3.b,Reading Standards: Foundational Skills,Phonics and Word Recognition,Recognizes own name and common signs and labels in the environment.,,,
RF.PK.4,Reading Standards: Foundational Skills,Fluency,"Displays emergent reading behaviors with purpose and understanding (e.g., pretend reading).",,,
RF.K.1,Reading Foundational Skills,Print Concepts,Demonstrate understanding of the organization and basic features of print.,,,
RF.K.1.a,Reading Foundational Skills,Print Concepts,"Follow words from left to right, top to bottom, and page by page.",,,
RF.K.1.b,Reading Foundational Skills,Print Concepts,Recognize that spoken words are represented in written language by specific sequences of letters.,,,
RF.K.1.c,Reading Foundational Skills,Print Concepts,Understand that words are separated by spaces in print.,,,
RF.K.1.d,Reading Foundational Skills,Print Concepts,Recognize and name all upper- and lowercase letters of the alphabet.,,,
RF.K.2,Reading Foundational Skills,Phonological awareness,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes).",,,
RF.K.2.a,Reading Foundational Skills,Phonological awareness,Recognize and produce rhyming words.,,,
RF.K.2.b,Reading Foundational Skills,Phonological awareness,"Count, pronounce, blend, and segment syllables in spoken words.",,,
RF.K.2.c,Reading Foundational Skills,Phonological awareness,Blend and segment onsets and rimes of single-syllable spoken words.,,,
RF.K.2.d,Reading Foundational Skills,Phonological awareness,"Isolate and pronounce the initial, medial vowel, and final sounds (phonemes) in three-phoneme (consonent-vowel-consonent, or CVC) words.* (This does not include CVCs ending with /l/, /r/, or /x/.)",,,
RF.K.2.e,Reading Foundational Skills,Phonological awareness,"Add or substitute individual sounds (phonemes) in simple, one-syllable words to make new words.",,,
RF.K.3,Reading Foundational Skills,Phonics and Word recognition,Know and apply grade-level phonics and word analysis skills in decoding words.,,,
RF.K.3.a,Reading Foundational Skills,Phonics and Word recognition,Demonstrate basic knowledge of one-to-one letter-sound correspondences by producing the primary or many of the most frequent sound for each consonant.,,,
RF.K.3.b,Reading Foundational Skills,Phonics and Word recognition,Associate the long and short sounds with common spellings (graphemes) for the five major vowels.,,,
RF.K.3.c,Reading Foundational Skills,Phonics and Word recognition,"Read common high-frequency words by sight (e.g., the, of, to, you, she, my, is, are, do, does).",,,
RF.K.3.d,Reading Foundational Skills,Phonics and Word recognition,Distinguish between similarly spelled words by identifying the sounds of the letters that differ.,,,
RF.K.4,Reading Foundational Skills,Fluency,Read emergent-reader texts with purpose and understanding.,,,
RF.1.1,Reading Foundational Skills,Print Concepts,Demonstrate understanding of the organization and basic features of print.,,,
RF.1.1.a,Reading Foundational Skills,Print Concepts,"Recognize the distinguishing features of a sentence (e.g., first word, capitalization, ending punctuation).",,,
RF.1.2,Reading Foundational Skills,Phonological awareness,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes).",,,
RF.1.2.a,Reading Foundational Skills,Phonological awareness,Distinguish long from short vowel sounds in spoken single-syllable words.,,,
RF.1.2.b,Reading Foundational Skills,Phonological awareness,"Orally produce single-syllable words by blending sounds (phonemes), including consonant blends.",,,
RF.1.2.c,Reading Foundational Skills,Phonological awareness,"Isolate and pronounce initial, medial vowel, and final sounds (phonemes) in spoken single-syllable words.",,,
RF.1.2.d,Reading Foundational Skills,Phonological awareness,Segment spoken single-syllable words into their complete sequence of individual sounds (phonemes).,,,
RF.1.3,Reading Foundational Skills,Phonics and Word recognition,Know and apply grade-level phonics and word analysis skills in decoding words.,,,
RF.1.3.a,Reading Foundational Skills,Phonics and Word recognition,Know the spelling-sound correspondences for common consonant digraphs.,,,
RF.1.3.b,Reading Foundational Skills,Phonics and Word recognition,Decode regularly spelled one-syllable words.,,,
RF.1.3.c,Reading Foundational Skills,Phonics and Word recognition,Know final -e and common vowel team conventions for representing long vowel sounds.,,,
RF.1.3.d,Reading Foundational Skills,Phonics and Word recognition,Use knowledge that every syllable must have a vowel sound to determine the number of syllables in a printed word.,,,
RF.1.3.e,Reading Foundational Skills,Phonics and Word recognition,Decode two-syllable words following basic patterns by breaking the words into syllables.,,,
RF.1.3.f,Reading Foundational Skills,Phonics and Word recognition,Read words with inflectional endings.,,,
RF.1.3.g,Reading Foundational Skills,Phonics and Word recognition,Recognize and read grade-appropriate irregularly spelled words.,,,
RF.1.4,Reading Foundational Skills,Fluency,Read with sufficient accuracy and fluency to support comprehension.,,,
RF.1.4.a,Reading Foundational Skills,Fluency,Read on-level text with purpose and understanding.,,,
RF.1.4.b,Reading Foundational Skills,Fluency,"Read on-level text orally with accuracy, appropriate rate, and expression on successive readings.",,,
RF.1.4.c,Reading Foundational Skills,Fluency,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",,,
RF.2.3,Reading Foundational Skills,Phonics and Word recognition,Know and apply grade-level phonics and word analysis skills in decoding words.,,,
RF.2.3.a,Reading Foundational Skills,Phonics and Word recognition,Distinguish long and short vowels when reading regularly spelled one-syllable words.,,,
RF.2.3.b,Reading Foundational Skills,Phonics and Word recognition,Know spelling-sound correspondences for additional common vowel teams.,,,
RF.2.3.c,Reading Foundational Skills,Phonics and Word recognition,Decode regularly spelled two-syllable words with long vowels.,,,
RF.2.3.d,Reading Foundational Skills,Phonics and Word recognition,Decode words with common prefixes and suffixes.,,,
RF.2.3.e,Reading Foundational Skills,Phonics and Word recognition,Identify words with inconsistent but common spelling-sound correspondences.,,,
RF.2.3.f,Reading Foundational Skills,Phonics and Word recognition,Recognize and read grade-appropriate irregularly spelled words.,,,
RF.2.4,Reading Foundational Skills,Fluency,Read with sufficient accuracy and fluency to support comprehension.,,,
RF.2.4.a,Reading Foundational Skills,Fluency,Read on-level text with purpose and understanding.,,,
RF.2.4.b,Reading Foundational Skills,Fluency,"Read on-level text orally with accuracy, appropriate rate, and expression on successive readings.",,,
RF.2.4.c,Reading Foundational Skills,Fluency,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",,,
RF.3.3,Reading Foundational Skills,Phonics and Word recognition,Know and apply grade-level phonics and word analysis skills in decoding words.,,,
RF.3.3.a,Reading Foundational Skills,Phonics and Word recognition,Identify and know the meaning of the most common prefixes and derivational suffixes.,,,
RF.3.3.b,Reading Foundational Skills,Phonics and Word recognition,Decode words with common Latin suffixes.,,,
RF.3.3.c,Reading Foundational Skills,Phonics and Word recognition,Decode multisyllable words.,,,
RF.3.3.d,Reading Foundational Skills,Phonics and Word recognition,Read grade-appropriate irregularly spelled words.,,,
RF.3.4,Reading Foundational Skills,Fluency,Read with sufficient accuracy and fluency to support comprehension.,,,
RF.3.4.a,Reading Foundational Skills,Fluency,Read on-level text with purpose and understanding.,,,
RF.3.4.b,Reading Foundational Skills,Fluency,"Read on-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings",,,
RF.3.4.c,Reading Foundational Skills,Fluency,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",,,
RF.4.3,Reading Foundational Skills,Phonics and Word recognition,Know and apply grade-level phonics and word analysis skills in decoding words.,,,
RF.4.3.a,Reading Foundational Skills,Phonics and Word recognition,"Use combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context.",,,
RF.4.4,Reading Foundational Skills,Fluency,Read with sufficient accuracy and fluency to support comprehension.,,,
RF.4.4.a,Reading Foundational Skills,Fluency,Read on-level text with purpose and understanding.,,,
RF.4.4.b,Reading Foundational Skills,Fluency,"Read on-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings.",,,
RF.4.4.c,Reading Foundational Skills,Fluency,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",,,
RF.5.3,Reading Foundational Skills,Phonics and Word recognition,Know and apply grade-level phonics and word analysis skills in decoding words.,,,
RF.5.3.a,Reading Foundational Skills,Phonics and Word recognition,"Use combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context.",,,
RF.5.4,Reading Foundational Skills,Fluency,Read with sufficient accuracy and fluency to support comprehension.,,,
RF.5.4.a,Reading Foundational Skills,Fluency,Read on-level text with purpose and understanding.,,,
RF.5.4.b,Reading Foundational Skills,Fluency,"Read on-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings.",,,
RF.5.4.c,Reading Foundational Skills,Fluency,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",,,
W.PK.1,Writing Standards,Text Types and Purposes,"With prompting and support, use a combination of drawing, dictating, or writing to express an opinion about a book or topic (e.g., I like…. because…)",,,
W.PK.10,Writing Standards,Range of Writing,Not applicable to prekindergarten (begins in grade 3).,,,
W.PK.11,Writing Standards,Responding to Literature,"Create and present a poem, dramatization, art work, or personal response to a particular author or theme studied in class, with prompting and support as needed.",,,
W.PK.2,Writing Standards,Text Types and Purposes,"With prompting and support, use a combination of drawing, dictating, or writing to compose informative/explanatory texts in which they name what they are writing about and supply some information about the topic.",,,
W.PK.3,Writing Standards,Text Types and Purposes,"With prompting and support, use a combination of drawing, dictating, or writing to narrate a single event and provide a reaction to what happened.",,,
W.PK.4,Writing Standards,Production and Distribution of Writing,Not applicable to prekindergarten (begins in grade 3).,,,
W.PK.5,Writing Standards,Production and Distribution of Writing,"With guidance and support, respond to questions and suggestions and add details to strengthen illustration or writing, as needed.",,,
W.PK.6,Writing Standards,Production and Distribution of Writing,"With guidance and support, explore a variety of digital tools to produce and publish writing; collaborate with peers.",,,
W.PK.7,Writing Standards,Research to Build and Present Knowledge,"With guidance and support, participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them).",,,
W.PK.8,Writing Standards,Research to Build and Present Knowledge,"With guidance and support, recall information from experiences or gather information from provided sources to answer a question.",,,
W.PK.9,Writing Standards,Research to Build and Present Knowledge,Not applicable to prekindergarten (begins in grade 4).,,,
W.K.1,Writing,Text Types and Purposes,"Use a combination of drawing, dictating, and writing to compose opinion pieces in which they tell a reader the topic or the name of the book they are writing about and state an opinion or preference about the topic or book (e.g., My favorite book is...).",,,
W.K.10,Writing,Range of Writing,(Begins in grade 3),,,
W.K.11,Writing Standards,Responding to Literature,"Create and/or present a poem, dramatization, art work, or personal response to a particular author or theme studied in class, with support as needed.",,,
W.K.2,Writing,Text Types and Purposes,"Use a combination of drawing, dictating, and writing to compose informative/explanatory texts in which they name what they are writing about and supply some information about the topic.",,,
W.K.3,Writing,Text Types and Purposes,"Use a combination of drawing, dictating, and writing to narrate a single event or several loosely linked events, tell about the events in the order in which they occurred, and provide a reaction to what happened.",,,
W.K.4,Writing,Production and Distribution of Writing,(Begins in grade 3),,,
W.K.5,Writing,Production and Distribution of Writing,"With guidance and support from adults, respond to questions and suggestions from peers and add details to strengthen writing as needed.",,,
